ID,LABEL,Type,SubClass Of [NAMED],definition,has_obo_namespace,database_cross_reference,creation_date,created_by
obo:ID_GEO0000034,Tanzania,Class,Eastern Africa,"Tanzania is a country in Eastern Africa within the African Great Lakes region. It is bordered by Kenya and Uganda to the north; Rwanda, Burundi, and the Democratic Republic of the Congo to the west; Zambia, Malawi, and Mozambique to the south; and by the Indian Ocean to the east [Wikipedia].",GeoNames,,2017-02-17T00:00:00Z,lawson
obo:ID_GEO0000035,Kenya,Class,Eastern Africa,"Kenya is a country in East Africa, bordered by Tanzania to the south and southwest, Uganda to the west, South Sudan to the north-west, Ethiopia to the north and Somalia to the north-east [Wikipedia].",GeoNames,,2017-02-17T00:00:00Z,lawson
obo:ID_GEO0000036,Democratic Republic of the Congo,Class,Central Africa,"The Democratic Republic of the Congo is a country located in Central Africa. From 1971 to 1997 it was named, and is sometimes still called, Zaire, and from 1908 to 1960 it was called the Belgian Congo. The DRC borders the Central African Republic, and South Sudan to the north; Uganda, Rwanda, Burundi and Tanzania to the east; Zambia and Angola to the south; the Republic of the Congo to the west and the Atlantic Ocean to the southwest [Wikipedia].",GeoNames,,2017-02-17T00:00:00Z,lawson
obo:ID_GEO0000037,Djibouti,Class,Eastern Africa,A Republic within Africa.,GeoNames,,2017-02-17T00:00:00Z,lawson
obo:ID_GEO0000038,Uganda,Class,Eastern Africa,A Republic within Africa.,GeoNames,,2017-02-17T00:00:00Z,lawson
obo:ID_GEO0000039,Central African Republic,Class,Central Africa,A Republic within Africa.,GeoNames,,2017-02-17T00:00:00Z,lawson
obo:ID_GEO0000040,Seychelles,Class,Eastern Africa,A Republic within Africa.,GeoNames,,2017-02-17T00:00:00Z,lawson
obo:ID_GEO0000041,Ethiopia,Class,Eastern Africa,A Republic within Africa.,GeoNames,,2017-02-17T00:00:00Z,lawson
obo:ID_GEO0000042,Eritrea,Class,Eastern Africa,A State within Africa.,GeoNames,,2017-02-17T00:00:00Z,lawson
obo:ID_GEO0000043,Egypt,Class,Middle East|Northern Africa,A Republic within Africa.,GeoNames,,2017-02-17T00:00:00Z,lawson
obo:ID_GEO0000044,Sudan,Class,Northern Africa,A Republic within Africa.,GeoNames,,2017-02-17T00:00:00Z,lawson
obo:ID_GEO0000045,Burundi,Class,Eastern Africa,A Republic within Africa.,GeoNames,,2017-02-17T00:00:00Z,lawson
obo:ID_GEO0000046,Zimbabwe,Class,Eastern Africa,A Republic within Africa.,GeoNames,,2017-02-17T00:00:00Z,lawson
